8322	2918
16699	305
2490	461
5240	81
14565	892
5173	122
9449	441
8367	1331
12078	518
6067	2372
2488	71
8294	1116
10133	2225
8676	3111
12004	2993
9700	593
8320	96
13658	459
13660	88
3106	445
1949	568
15531	480
15386	444
344	601
14914	121
6377	424
415	108
11242	2453
8523	683
16278	92
13001	2475
4726	120
13112	1230
10269	131
2052	1437
14808	451
4744	430
6610	613
7860	2772
11095	114
12989	1994
12481	1888
14981	919
1904	1339
10392	2150
11790	96
4323	175
12135	2788
14972	81
8076	1373
14903	497
5886	97
680	898
15324	68
7354	1322
7673	520
1610	998
4012	2055
11990	2300
6494	42
10226	2314
83	57
5184	60
9898	138
7748	1445
4792	105
1546	86
131	172
2989	131
16490	3570
8048	430
11768	1031
16474	63
9356	36
16385	2268
9367	770
10242	3509
9764	452
2488	478
9570	138
15237	1011
17321	472
210	165
15073	1048
5131	83
13577	1385
12018	2295
10942	2673
7823	2295
10935	129
2523	120
9168	45
7399	151
4278	2075
8482	11
3596	81
15916	82
14636	1891
8822	43
946	135
8133	1351
13069	2341
13177	90
7377	1367
16394	2098
15412	65
5727	1617
72	342
15843	2975
12322	887
15798	54
7727	157
6281	487
5964	1011
17450	898
3458	1869
328	557
5582	677
14381	507
13097	3820
1645	1327
4028	230
8679	7
5492	840
5706	2534
7390	2093
8199	443
7691	51
3889	106
5660	2413
1553	1302
3520	489
3952	7
11370	695
4168	47
4655	1042
5512	1174
7614	299
8784	494
10993	1110
11422	102
4036	72
1569	704
9124	106
6124	1016
5648	726
9717	12
5504	600
1704	59
11645	2156
13556	1042
7352	1118
8791	602
8120	1438
5685	2556
5158	105
12386	1989
11021	1042
4831	479
16549	82
43	120
7527	428
12404	12
8555	25
14898	121
371	170
7644	37
9250	2359
8556	167
7732	870
15575	4121
3064	1719
12134	2989
8352	1338
16486	108
6487	518
1	32
7300	880
14319	493
15507	980
4771	92
12920	2300
13424	112
10456	2356
14698	55
6036	753
5795	880
1077	155
15835	493
14785	917
16109	3623
5685	911
